Season,Transplant,Growth,Harvest,'Products name','Crops Type','Normalized Max Temp','Normalized Min Temp','Normalized Min RH','Normalized Max RH',Cluster
Rabi,Feb,'March to May','May to June','Teel 1',Vegetables,0.5,0.681818,0.461538,0.727273,C
Rabi,Dec,'Jan to May','May to July',Kakora,Vegetables,0.5,0.681818,0,0.181818,E
'Kharif 2',June,'July to  Oct','Nov to Dec','Aman Rice(Local: Transplant)',Cereals,0.833333,0.318182,0.615385,0.727273,D
'Kharif 2',Sep,'Oct to Jan',Feb,Potato,Tubers,0.383333,0.454545,1,0.818182,D
'Kharif 2',Oct,'Nov  to  Feb','Feb to March',Lentiles,Pulses,0.166667,0.227273,1,0.909091,D
'Kharif 2',Nov,'Dec to March','March to April',Chickpea,Pulses,0.383333,0.454545,0.076923,0.727273,C
'Kharif 2',Aug,'Sep to Oct',Nov,Blackgram,Pulses,0.666667,0.681818,0.076923,0,D
'Kharif 2',Oct,'Nov  to  Jan',Feb,Mustard,'Oil Seeds',0.333333,0.227273,0.769231,0.909091,D
'Kharif 2',March,'April to July','July to Aug','Sesame 2','Oil Seeds',0.5,0.681818,0.307692,0.090909,E
'Kharif 2',July,'Sep to Feb',March,'Bottle Gourd',Vegetables,0.666667,0.590909,0.846154,0.727273,A
'Kharif 2',Sep,'Nov to March','March to jun',Cucumber,Vegetables,0.666667,0.590909,0.615385,0.818182,D
'Kharif 2',Sep,'Nov to Jan',Feb,Cauliflower,Vegetables,0.5,0.136364,0.769231,0.727273,D
'Kharif 2',Sep,'Oct to Feb',March,'Chinese Cabbage',Vegetables,0.3,0.136364,0.769231,0.727273,D
'Kharif 2',Oct,'Nov to Feb',March,Radish,Vegetables,0.233333,0.227273,0.846154,0.909091,D
'Kharif 2',Oct,'Nov to Feb',March,Carrot,Vegetables,0.2,0.454545,0.415385,0.745455,D
'Kharif 2',Sep,'Oct to Jan',Feb,Cabbage,Vegetables,0.3,0.227273,0.615385,0.818182,D
